Work Item Type,Title 1,Title 2,Title 3,Title 4,Area Path,Iteration Path
Process Group,Inititating,,,,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(4) Project Integration Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.1 Develop Project Charter,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Charter,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(13) Project Stakeholder Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,13.1 Identify Stakeholders,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Register,Add Your Area Path Here,Add Your Iteration Path Here
Process Group,Planning,,,,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(4) Project Integration Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.2 Develop Project Management Plan,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(5) Project Scope Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,5.1 Plan Scope Management,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Scope Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,5.2 Collect Requirements,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Requirements,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,5.3 Define Scope,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Scope Statement,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,5.4 Create WBS,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Work Break Down Structure,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(6) Project Schedule Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,6.1 Plan Schedule Management,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Schedule Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,6.2 Define Activities,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Activities and Attributes List,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Milestones List,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,6.3 Sequence Activities,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Schedule Network Diagrams,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Precedence Diagramming Method (PDM) charts,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Activity List with Dependencies,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,6.4 Estimate Activity Resources,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Duration of Estimates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Basis of Estimates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Basis of Estimates,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,6.5 Develop Schedule,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Schedule (Gantt Chart or Network Diagram),Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Schedule Forecasts,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests (for any schedule adjustments),Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Resource Calendars,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(7) Project Cost Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,7.1 Plan Cost Management,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Cost Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,7.2 Estimate Costs,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Cost and Basis of Estimates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Document Updates (including assumptions and constraints),Add Your Area Path Here,Add Your Iteration Path Here
Process,,,7.3 Determine Budget,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Cost Baseline (including contingency reserves),Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Funding Requirements,Add Your Area Path Here,Add Your Iteration Path Here
